Location ID,Date,Mean temperature (°C),Max. temperature (°C),Min. temperature (°C),Perceived mean temperature (°C),Perceived max. temperature (°C),Perceived min. temperature (°C),Max. wind speed (km/h),Max. wind gusts (km/h),Shortwave radiation sum (MJ/m2),Dominant wind direction (°),Reference evapotranspiration (mm),Daylight duration (s),Sunshine duration (s),Precipitation sum (mm),Snowfall sum (mm),Precipitation hours (h),Rain sum (mm)
4,2010-08-31,25.4,31.7,18.2,23.4,30.7,15.3,11.3,24.1,22.74,83,5.92,47269.49,43499.46,0.0,0.0,0.0,0.0
4,2010-09-01,23.2,28.9,20.3,23.7,28.4,20.6,9.0,29.2,16.53,99,3.82,47117.64,35914.34,2.8,0.0,4.0,2.8
4,2010-09-02,22.2,26.8,17.5,23.0,26.7,18.9,6.9,24.1,16.87,31,3.55,46965.9,42702.64,0.0,0.0,0.0,0.0
4,2010-09-03,23.7,29.4,17.1,23.8,29.9,17.6,9.7,20.5,21.81,165,4.85,46814.2,43086.16,0.0,0.0,0.0,0.0
4,2010-09-04,25.4,31.5,17.9,24.9,30.9,18.0,8.4,26.6,22.37,224,5.09,46661.48,42849.96,0.0,0.0,0.0,0.0
4,2010-09-05,26.3,32.5,18.3,25.3,31.3,18.0,12.5,33.8,22.27,227,5.7,46507.67,42469.2,0.0,0.0,0.0,0.0
4,2010-09-06,25.8,31.0,19.8,23.5,27.4,19.0,22.7,54.4,20.6,224,6.41,46352.88,42251.37,0.0,0.0,0.0,0.0
4,2010-09-07,20.1,24.2,17.0,17.7,20.5,15.6,25.8,54.7,18.5,241,4.89,46197.21,42357.72,0.0,0.0,0.0,0.0
4,2010-09-08,18.9,24.2,14.2,16.9,21.9,13.7,12.5,30.6,22.81,299,4.82,46040.78,42339.88,0.0,0.0,0.0,0.0
4,2010-09-09,19.7,25.9,13.6,18.2,25.3,11.7,8.7,23.8,22.63,346,4.35,45883.66,42285.28,0.0,0.0,0.0,0.0
4,2010-09-10,21.6,28.4,14.1,19.5,27.1,11.9,10.2,22.7,22.89,50,5.1,45725.98,42191.47,0.0,0.0,0.0,0.0
4,2010-09-11,22.5,29.8,14.1,20.9,28.8,12.5,6.3,22.0,22.09,62,4.73,45567.82,42133.29,0.0,0.0,0.0,0.0
4,2010-09-12,24.2,31.5,15.8,22.5,30.7,13.9,14.3,33.5,22.01,61,5.27,45409.29,42076.83,0.0,0.0,0.0,0.0
4,2010-09-13,24.9,31.8,17.9,23.5,31.5,16.1,14.8,34.2,21.61,40,5.33,45250.49,42020.21,0.0,0.0,0.0,0.0
4,2010-09-14,24.9,32.5,16.5,22.7,30.9,14.3,8.7,20.2,22.43,2,4.96,45091.5,41922.34,0.0,0.0,0.0,0.0
4,2010-09-15,24.9,32.5,16.4,23.3,30.8,15.1,11.3,26.6,20.58,220,5.18,44932.43,40565.54,0.0,0.0,0.0,0.0
4,2010-09-16,22.3,26.4,17.9,22.0,25.2,19.1,15.0,41.4,12.76,239,3.25,44773.37,26582.88,3.9,0.0,8.0,3.9
4,2010-09-17,18.2,22.1,15.6,18.9,21.9,16.6,10.0,25.2,11.71,5,2.27,44614.4,27307.0,5.4,0.0,11.0,5.4
